"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"4249",NA,"Software Engineer","C#/.NET","","3","меньше 3 месяцев",1200,0,"Одесса","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","Другой вуз","False","ниже среднего","Gamedev","29/12/2015 14:27:32","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0,"Одесса",1200,NA,"DEV"
"4250",NA,"Senior Software Engineer","Other","","3","1",1000,200,"Черкассы","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","ХАИ","False","ниже среднего","Веб-разработка","29/12/2015 14:27:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"other",1000,NA,"DEV"
"4251",NA,"Software Engineer","C#/.NET","","3","1.5",2000,0,"Днепр.","до 1000 человек","Аутстаффинговая","мужской",28,"Высшее","НГУ","False","средний","Веб-разработка,eCommerce","29/12/2015 14:27:36","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",3,1.5,"Днепр.",2000,NA,"DEV"
"4252",NA,"Sysadmin","","","4","1.5",700,0,"Киев","до 10 человек","Другая","мужской",27,"Высшее","НТУУ «КПИ»","False","средний","Корпоративные системы","29/12/2015 14:27:38","Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0",4,1.5,"Киев",700,NA,""
"4253",NA,"Designer","","","5","3",2900,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,Корпоративные системы","29/12/2015 14:27:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0",5,3,"Киев",2900,NA,""
"4254",NA,"Junior Software Engineer","PHP","","1","1",540,290,"Харьков","до 50 человек","Другая","мужской",30,"Высшее","НТУ «ХПИ»","False","средний","Веб-разработка","29/12/2015 14:27:45","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0",1,1,"Харьков",540,NA,"DEV"
"4255",NA,"Software Engineer","PHP","","3","1",1500,500,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",24,"Высшее","НТУ «ХПИ»","False","ниже среднего","eCommerce","29/12/2015 14:27:53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Киев",1500,NA,"DEV"
"4256",NA,"QA engineer","","General QA","3","1",1700,500,"Киев","до 50 человек","Продуктовая","мужской",26,"Высшее","СумГУ","False","средний","iOS,Веб-разработка","29/12/2015 14:27:54","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Киев",1700,NA,"QA"
"4257",NA,"Software Engineer","JavaScript","","2","1",630,630,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","ДНУ им. Гончара","False","ниже среднего","Корпоративные системы,Другое","29/12/2015 14:28:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,1,"Днепр.",630,NA,"DEV"
"4258",NA,"DBA","","","10 и более лет","1",4500,350,"Львов","до 1000 человек","Аутстаффинговая","мужской",40,"Высшее","Львовская Политехника","False","выше среднего","Корпоративные системы,Другое","29/12/2015 14:28:17","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36 OPR/34.0.2036.25",10,1,"Львов",4500,NA,""
"4259",NA,"Software Engineer","PHP","","3","3",650,53,"Харьков","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","НТУ «ХПИ»","False","средний","Веб-разработка","29/12/2015 14:28:23","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36",3,3,"Харьков",650,NA,"DEV"
"4260",NA,"Project manager","","","4","1",3000,900,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Gamedev","29/12/2015 14:28:31","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1,"Киев",3000,NA,"PM"
"4261",NA,"Senior Software Engineer","1С","","7","4",1500,150,"Одесса","до 50 человек","Другая","мужской",27,"Высшее","Другой вуз","False","ниже среднего","eCommerce,Корпоративные системы","29/12/2015 14:28:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36",7,4,"Одесса",1500,NA,"DEV"
"4262",NA,"Junior QA engineer","","Manual QA","1.5","1.5",200,305,"Ивано-Франковск","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","Другой вуз","False","выше среднего","Веб-разработка","29/12/2015 14:28:35","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:41.0) Gecko/20100101 Firefox/41.0",1.5,1.5,"other",200,NA,"QA"
"4263",NA,"Software Engineer","Java","","6","0.5",2000,200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",32,"Незаконченное высшее","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","29/12/2015 14:28:36","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",6,0.5,"Львов",2000,NA,"DEV"
"4264",NA,"Senior Software Engineer","C#/.NET","","4","3",1950,200,"Житомир","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","29/12/2015 14:28:37","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,3,"other",1950,NA,"DEV"
"4265",NA,"Senior QA engineer","","General QA","5","5",1900,0,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","Другой вуз","False","выше среднего","Embedded","29/12/2015 14:28:49","Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13C75 Safari/601.1.46",5,5,"Львов",1900,NA,"QA"
"4266",NA,"Senior Software Engineer","JavaScript","","5","1.5",3500,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Незаконченное высшее","Другой вуз","False","продвинутый","Веб-разработка","29/12/2015 14:28:58","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,1.5,"Киев",3500,NA,"DEV"
"4267",NA,"Software Engineer","PHP","","6","4",1000,0,"Харьков","до 10 человек","Продуктовая","мужской",26,"Высшее","Другой вуз","False","элементарный","Веб-разработка","29/12/2015 14:29:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",6,4,"Харьков",1000,NA,"DEV"
"4268",NA,"Senior Software Engineer","C#/.NET","","3","1.5",2000,200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","Львовская Политехника","False","средний","Веб-разработка,Корпоративные системы","29/12/2015 14:29:24","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1.5,"Львов",2000,NA,"DEV"
"4269",NA,"Senior Software Engineer","C#/.NET","","5","1.5",1500,150,"Львов","до 10 человек","Аутсорсинговая","мужской",28,"Высшее","Львовская Политехника","False","ниже среднего","Gamedev","29/12/2015 14:29:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,1.5,"Львов",1500,NA,"DEV"
"4270",NA,"Software Engineer","C#/.NET","","5","0.5",2800,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","ХАИ","False","выше среднего","Веб-разработка,Корпоративные системы","29/12/2015 14:29:39","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,0.5,"Харьков",2800,NA,"DEV"
"4271",NA,"Software Engineer","Java","","2","2",1500,800,"Львов","до 10 человек","Аутстаффинговая","мужской",23,"Высшее","Львовская Политехника","True","средний","Android","29/12/2015 14:29:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,2,"Львов",1500,NA,"DEV"
"4272",NA,"Business analyst","","","0.5","0.5",800,0,"Киев","до 1000 человек","Продуктовая","мужской",36,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,Корпоративные системы","29/12/2015 14:29:56","Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0",0.5,0.5,"Киев",800,NA,""
"4273",NA,"Junior QA engineer","","Manual QA","2","2",900,150,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",43,"Высшее","Другой вуз","False","средний","Desktop Applications","29/12/2015 14:30:11","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",2,2,"Львов",900,NA,"QA"
"4274",NA,"HR","","","8","3",2700,200,"Киев","до 200 человек","Аутсорсинговая","женский",29,"Высшее","НаУКМА","False","продвинутый","","29/12/2015 14:30:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",8,3,"Киев",2700,NA,""
"4275",NA,"Software Engineer","Java","","7","0.5",1200,0,"Харьков","до 200 человек","Продуктовая","мужской",32,"Высшее","НТУ «ХПИ»","False","выше среднего","Телекоммуникации,Корпоративные системы","29/12/2015 14:30:41","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.22 Safari/537.36",7,0.5,"Харьков",1200,NA,"DEV"
"4276",NA,"Senior Software Engineer","Ruby/Rails","","5","5",3000,800,"Днепр.","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","ДонНУ","False","ниже среднего","Веб-разработка","29/12/2015 14:30:48","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,5,"Днепр.",3000,NA,"DEV"
"4277",NA,"Software Engineer","Java","","1","меньше 3 месяцев",1300,800,"Киев","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","КНУ им. Шевченко","False","продвинутый","Android","29/12/2015 14:31:20","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0",1,0,"Киев",1300,NA,"DEV"
"4278",NA,"HTML coder","","","3","0.5",500,100,"Харьков","до 50 человек","Аутсорсинговая","мужской",25,"Незаконченное высшее","Другой вуз","False","ниже среднего","Веб-разработка","29/12/2015 14:31:27","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0.5,"Харьков",500,NA,""
"4279",NA,"Senior Software Engineer","PHP","","9","0.5",2500,0,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","Другой вуз","False","элементарный","eCommerce,Корпоративные системы","29/12/2015 14:31:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",9,0.5,"Киев",2500,NA,"DEV"
"4280",NA,"Support","","","2","0.5",200,100,"Львов","до 10 человек","Другая","мужской",30,"Кандидат","Львовская Политехника","False","выше среднего","Телекоммуникации,Другое","29/12/2015 14:31:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0.5,"Львов",200,NA,""
"4281",NA,"Software Engineer","JavaScript","","2","0.5",1663,400,"Киев","до 50 человек","Аутстаффинговая","мужской",26,"Высшее","КНЭУ","False","средний","Веб-разработка,Мультимедиа","29/12/2015 14:32:01","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",2,0.5,"Киев",1663,NA,"DEV"
"4282",NA,"Software Engineer","Other","","3","3",800,100,"Одесса","до 10 человек","Продуктовая","мужской",27,"Высшее","ОНУ им. Мечникова","False","ниже среднего","Веб-разработка,Корпоративные системы","29/12/2015 14:32:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,3,"Одесса",800,NA,"DEV"
"4283",NA,"Software Engineer","Objective-C","","2","меньше 3 месяцев",2100,1250,"Киев","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","Другой вуз","False","ниже среднего","iOS","29/12/2015 14:32:16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2,0,"Киев",2100,NA,"DEV"
"4284",NA,"Senior Software Engineer","Java","","3","0.5",3500,1700,"Киев","свыше 1000 человек","Другая","мужской",28,"Высшее","ДонНУ","False","выше среднего","Финансы и банки","29/12/2015 14:32:18","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0",3,0.5,"Киев",3500,NA,"DEV"
"4285",NA,"Project manager","","","0.5","0.5",500,150,"Одесса","до 50 человек","Аутсорсинговая","женский",22,"Высшее","Другой вуз","False","средний","Веб-разработка","29/12/2015 14:32:22","Mozilla/5.0 (Linux; Android 5.1.1; SM-N920C Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",0.5,0.5,"Одесса",500,NA,"PM"
"4286",NA,"Junior Software Engineer","JavaScript","","0.5","0.5",420,0,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","средний","Веб-разработка,eCommerce","29/12/2015 14:32:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Киев",420,NA,"DEV"
"4287",NA,"Senior Software Engineer","Java","","10 и более лет","2",4000,400,"Одесса","до 1000 человек","Аутстаффинговая","мужской",33,"Высшее","ОНПУ","False","средний","eCommerce,Корпоративные системы","29/12/2015 14:32:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,2,"Одесса",4000,NA,"DEV"
"4288",NA,"QA engineer","","Automation QA","1","меньше 3 месяцев",1500,1000,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","КНЭУ","False","продвинутый","Android,Веб-разработка","29/12/2015 14:32:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1,0,"Киев",1500,NA,"QA"
"4289",NA,"Junior Software Engineer","Python","","1.5","1",1100,500,"Харьков","до 200 человек","Другая","мужской",22,"Незаконченное высшее","ХНУРЭ","True","выше среднего","Системное программирование,Другое","29/12/2015 14:32:50","Mozilla/5.0 (X11; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0",1.5,1,"Харьков",1100,NA,"DEV"
"4290",NA,"Project manager","","","меньше 3 месяцев","меньше 3 месяцев",1100,0,"Винница","до 200 человек","Аутсорсинговая","женский",24,"Высшее","НАУ","False","выше среднего","Android,iOS","29/12/2015 14:32:59","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0,0,"other",1100,NA,"PM"
"4291",NA,"Project manager","","","10 и более лет","5",4300,300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","НТУУ «КПИ»","False","выше среднего","Финансы и банки","29/12/2015 14:33:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",10,5,"Киев",4300,NA,"PM"
"4292",NA,"Senior Software Engineer","C++","","6","2",2800,400,"Киев","до 200 человек","Продуктовая","мужской",28,"Высшее","СумГУ","False","выше среднего","Android,Gamedev","29/12/2015 14:33:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",6,2,"Киев",2800,NA,"DEV"
"4293",NA,"Technical Lead","PHP","","5","4",1200,300,"Ивано-Франковск","до 10 человек","Стартап","мужской",26,"Высшее","Другой вуз","False","выше среднего","Веб-разработка","29/12/2015 14:33:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,4,"other",1200,NA,"SDEV"
"4294",NA,"Technical Lead","C#/.NET","","4","4",1500,150,"Винница","до 10 человек","Продуктовая","мужской",31,"Высшее","ДонНУ","False","элементарный","Android,Gamedev","29/12/2015 14:33:27","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,4,"other",1500,NA,"SDEV"
"4295",NA,"QA engineer","","Manual QA","6","0.5",1200,-300,"Киев","до 1000 человек","Аутсорсинговая","мужской",26,"Высшее","ВНУ им. Даля","False","продвинутый","Мультимедиа,Другое","29/12/2015 14:33:28","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",6,0.5,"Киев",1200,NA,"QA"
"4296",NA,"Team lead","","","9","9",3200,300,"Одесса","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","ОНПУ","False","выше среднего","Корпоративные системы,Другое","29/12/2015 14:33:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",9,9,"Одесса",3200,NA,"PM"
"4297",NA,"Game designer","","","0.25","0.25",800,0,"Киев","до 200 человек","Аутсорсинговая","мужской",32,"Высшее","Другой вуз","False","средний","Мультимедиа","29/12/2015 14:33:51","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",0.25,0.25,"Киев",800,NA,""
"4298",NA,"Support","","","6","5",430,-370,"Киев","до 1000 человек","Продуктовая","женский",26,"Высшее","КНЭУ","False","средний","Телекоммуникации","29/12/2015 14:33:52","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0",6,5,"Киев",430,NA,""
"4299",NA,"Business analyst","","","2","0.5",2430,500,"Одесса","до 200 человек","Продуктовая","мужской",26,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,Финансы и банки","29/12/2015 14:33:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",2,0.5,"Одесса",2430,NA,""
"4300",NA,"QA engineer","","Manual QA","3","2",1150,150,"Харьков","до 200 человек","Аутсорсинговая","мужской",32,"Высшее","ХНУ им. Каразина","False","средний","Телекоммуникации","29/12/2015 14:34:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"Харьков",1150,NA,"QA"
"4301",NA,"Software Engineer","JavaScript","","6","0.5",1900,500,"Харьков","до 10 человек","Аутстаффинговая","мужской",31,"Высшее","Другой вуз","False","продвинутый","Веб-разработка","29/12/2015 14:34:12","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",6,0.5,"Харьков",1900,NA,"DEV"
"4302",NA,"Software Engineer","JavaScript","","2","меньше 3 месяцев",1500,700,"Одесса","до 10 человек","Стартап","мужской",23,"Высшее","ОНПУ","False","средний","Веб-разработка,Корпоративные системы","29/12/2015 14:34:16","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0,"Одесса",1500,NA,"DEV"
"4303",NA,"Software Engineer","PHP","","3","3",300,130,"Харьков","до 50 человек","Стартап","мужской",26,"Высшее","ДонНТУ","False","средний","eCommerce,Корпоративные системы","29/12/2015 14:34:17","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,3,"Харьков",300,NA,"DEV"
"4304",NA,"Software Engineer","C++","","2","2",1600,100,"Киев","до 200 человек","Продуктовая","мужской",26,"Незаконченное высшее","КНУСА","False","выше среднего","Desktop Applications","29/12/2015 14:34:20","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",2,2,"Киев",1600,NA,"DEV"
"4305",NA,"Senior Software Engineer","Python","","10 и более лет","меньше 3 месяцев",2500,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",41,"Высшее","НТУУ «КПИ»","False","ниже среднего","Системное программирование","29/12/2015 14:34:21","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,0,"Киев",2500,NA,"DEV"
"4306",NA,"Junior Software Engineer","Java","","0.5","0.5",576,576,"Киев","свыше 1000 человек","Аутсорсинговая","женский",25,"Высшее","КНЭУ","False","продвинутый","eCommerce","29/12/2015 14:34:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Киев",576,NA,"DEV"
"4307",NA,"Junior Software Engineer","Java","","0.5","0.25",400,0,"Киев","до 10 человек","Стартап","мужской",18,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","Android","29/12/2015 14:34:29","Mozilla/5.0 (Linux; Android 5.1; XT1096 Build/LPE23.32-25-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",0.5,0.25,"Киев",400,NA,"DEV"
"4308",NA,"Software Engineer","Java","","3","3",1400,200,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","Другой вуз","False","средний","Desktop Applications,Веб-разработка","29/12/2015 14:34:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,3,"other",1400,NA,"DEV"
"4309",NA,"Senior Software Engineer","Objective-C","","5","5",1097,0,"Другой","до 10 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","средний","iOS","29/12/2015 14:34:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,5,"other",1097,NA,"DEV"
"4310",NA,"Software Engineer","Python","","7","1.5",2500,500,"Львов","свыше 1000 человек","Аутстаффинговая","мужской",26,"Высшее","Другой вуз","False","средний","Телекоммуникации,Корпоративные системы","29/12/2015 14:34:38","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",7,1.5,"Львов",2500,NA,"DEV"
"4311",NA,"HR","","","4","2",150,20,"Львов","свыше 1000 человек","Продуктовая","женский",27,"Высшее","ЛНУ им. Франко","False","средний","Другое","29/12/2015 14:34:42","Mozilla/5.0 (Linux; Android 5.0.2; LG-D410 Build/LRX22G.A1439780618) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",4,2,"Львов",150,NA,""
"4312",NA,"HTML coder","JavaScript","","4","3",1900,0,"Киев","до 10 человек","Аутсорсинговая","мужской",25,"Высшее","Другой вуз","False","средний","iOS,Веб-разработка","29/12/2015 14:35:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",4,3,"Киев",1900,NA,""
"4313",NA,"Software Engineer","Ruby/Rails","","2","2",650,350,"Львов","до 50 человек","Аутсорсинговая","мужской",28,"Среднее","","False","средний","Веб-разработка","29/12/2015 14:35:14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,2,"Львов",650,NA,"DEV"
"4314",NA,"DevOps","","","9","0.5",3500,500,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",30,"Высшее","ОНПУ","False","средний","Корпоративные системы","29/12/2015 14:35:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:42.0) Gecko/20100101 Firefox/42.0",9,0.5,"Киев",3500,NA,"ADM"
"4315",NA,"Senior Software Engineer","C++","","10 и более лет","0.5",3500,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",28,"Незаконченное высшее","ДонНТУ","False","выше среднего","Embedded,Системное программирование","29/12/2015 14:35:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",10,0.5,"Киев",3500,NA,"DEV"
"4316",NA,"Junior Software Engineer","Ruby/Rails","","1.5","меньше 3 месяцев",800,500,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","ХНЭУ","False","средний","Веб-разработка","29/12/2015 14:35:34","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1.5,0,"Харьков",800,NA,"DEV"
"4317",NA,"Junior Software Engineer","JavaScript","","4","2",1000,250,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","ЛНУ им. Франко","False","выше среднего","Веб-разработка","29/12/2015 14:35:37","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,2,"Львов",1000,NA,"DEV"
"4318",NA,"Software Engineer","Java","","2","0.25",2500,1500,"Киев","до 50 человек","Аутстаффинговая","мужской",26,"Незаконченное высшее","Другой вуз","False","средний","Android","29/12/2015 14:35:58","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0.25,"Киев",2500,NA,"DEV"
"4319",NA,"Technical Lead","C++","","10 и более лет","4",2100,200,"Киев","до 200 человек","Другая","мужской",35,"Высшее","ВНТУ","False","выше среднего","Gamedev","29/12/2015 14:36:05","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",10,4,"Киев",2100,NA,"SDEV"
