"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"2830",NA,"Software Engineer","C++","","4","1.25",2000,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Корпоративные системы","24/05/2014 02:43:37","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,1.25,"Киев",2000,NA,"DEV"
"2831",NA,"QA engineer","","Manual QA","2","2",1200,400,"Киев","до 200 человек","Аутсорсинговая","женский",25,"Высшее","False","средний","Android,Системное программирование","24/05/2014 08:23:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,2,"Киев",1200,NA,"QA"
"2832",NA,"Software Engineer","C#/.NET","","2.5","1.25",1300,0,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Windows Phone","24/05/2014 08:35:36","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,1.25,"Харьков",1300,NA,"DEV"
"2833",NA,"Software Engineer","JavaScript","","2","0.75",1700,700,"Киев","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка","24/05/2014 08:50:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,0.75,"Киев",1700,NA,"DEV"
"2834",NA,"Technical Lead","C++","","10 и более лет","7",2800,400,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",37,"Высшее","False","продвинутый","","24/05/2014 10:20:18","Mozilla/5.0 (X11; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0",10,7,"Киев",2800,NA,"SDEV"
"2835",NA,"Junior Software Engineer","PHP","","2.5","0.5",950,400,"Харьков","свыше 1000 человек","Аутстаффинговая","женский",21,"Незаконченное высшее","True","средний","Веб-разработка","24/05/2014 10:57:16","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,0.5,"Харьков",950,NA,"DEV"
"2836",NA,"Support","","","6.5","1.25",1795,450,"Киев","до 1000 человек","Аутсорсинговая","мужской",28,"Два высших","False","выше среднего","Телекоммуникации,Другое","24/05/2014 11:33:57","Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.17",6.5,1.25,"Киев",1795,NA,""
"2837",NA,"Senior Software Engineer","Java","","6","2",3800,350,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","24/05/2014 11:46:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36",6,2,"Киев",3800,NA,"DEV"
"2838",NA,"HR","","","7","3.5",2200,500,"Киев","до 200 человек","Продуктовая","мужской",28,"Высшее","False","продвинутый","Веб-разработка,eCommerce","24/05/2014 12:08:50","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",7,3.5,"Киев",2200,NA,""
"2839",NA,"Technical Lead","C++","","10 и более лет","1.75",3000,-1000,"Харьков","до 200 человек","Аутстаффинговая","мужской",36,"Высшее","False","продвинутый","Desktop Applications","24/05/2014 12:25:26","Mozilla/5.0 (Windows NT 6.0; rv:29.0) Gecko/20100101 Firefox/29.0",10,1.75,"Харьков",3000,NA,"SDEV"
"2840",NA,"Software Engineer","Java","","3","3",2200,700,"Киев","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","24/05/2014 12:42:56","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",3,3,"Киев",2200,NA,"DEV"
"2841",NA,"Technical Lead","PHP","","9","4",2800,800,"Киев","до 10 человек","Продуктовая","мужской",26,"Высшее","False","средний","eCommerce","24/05/2014 13:06:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 FirePHP/4Chrome",9,4,"Киев",2800,NA,"SDEV"
"2842",NA,"HR","","","2.5","2.5",1225,225,"Одесса","свыше 1000 человек","Аутстаффинговая","женский",28,"Высшее","False","продвинутый","Другое","24/05/2014 13:10:44","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,2.5,"Одесса",1225,NA,""
"2843",NA,"Системный администратор","","","8","2.5",666,-333,"Киев","до 10 человек","Другая","мужской",34,"Высшее","False","элементарный","Корпоративные системы","24/05/2014 13:13:13","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",8,2.5,"Киев",666,NA,"ADM"
"2844",NA,"Junior Software Engineer","C#/.NET","","2","1",1600,1000,"Харьков","до 200 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Веб-разработка,eCommerce","24/05/2014 13:14:30","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,1,"Харьков",1600,NA,"DEV"
"2845",NA,"QA Tech Lead","","Manual QA","6","3.5",2600,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Desktop Applications,Финансы и банки","24/05/2014 13:32:37","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",6,3.5,"Киев",2600,NA,"QA"
"2846",NA,"Senior Project Manager / Program Manager","","","10 и более лет","6.5",4000,-200,"Киев","до 50 человек","Другая","мужской",30,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","24/05/2014 13:46:56","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",10,6.5,"Киев",4000,NA,"SPM"
"2847",NA,"Software Engineer","C#/.NET","","меньше 3 месяцев","1.5",455,125,"Донецк","до 10 человек","Продуктовая","мужской",22,"Высшее","False","средний","Desktop Applications","24/05/2014 13:51:06","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0,1.5,"other",455,NA,"DEV"
"2848",NA,"Project manager","","","2","0.5",1100,100,"Днепр.","до 1000 человек","Продуктовая","женский",24,"Высшее","False","средний","Веб-разработка","24/05/2014 14:03:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,0.5,"Днепр.",1100,NA,"PM"
"2849",NA,"Software Engineer","C#/.NET","","3","0.5",2200,1000,"Другой","до 10 человек","Стартап","мужской",24,"Высшее","False","выше среднего","Android,Windows Phone","24/05/2014 14:14:20","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.5,"other",2200,NA,"DEV"
"2850",NA,"Team lead","","","10 и более лет","3",4000,500,"Одесса","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","выше среднего","Веб-разработка","24/05/2014 14:20:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,3,"Одесса",4000,NA,"PM"
"2851",NA,"Junior Software Engineer","SQL","","0.75","0.75",583,583,"Винница","до 10 человек","Другая","мужской",23,"Среднее","False","ниже среднего","Windows Phone,Корпоративные системы","24/05/2014 14:50:46","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.75,0.75,"other",583,NA,"DEV"
"2852",NA,"QA engineer","","General QA","2","2",1100,-300,"Киев","до 1000 человек","Продуктовая","женский",23,"Высшее","False","выше среднего","iOS","24/05/2014 14:54:17","Mozilla/5.0 (Windows NT 5.1; rv:23.0) Gecko/20100101 Firefox/23.0",2,2,"Киев",1100,NA,"QA"
"2853",NA,"Software Engineer","C#/.NET","","4","4",1950,0,"Хмельницкий","до 10 человек","Аутстаффинговая","мужской",24,"Высшее","False","выше среднего","Desktop Applications,Телекоммуникации","24/05/2014 14:59:39","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",4,4,"other",1950,NA,"DEV"
"2854",NA,"Software Engineer","JavaScript","","2","1",660,0,"Симферополь","до 200 человек","Продуктовая","мужской",25,"Высшее","False","продвинутый","Веб-разработка","24/05/2014 15:08:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67",2,1,"other",660,NA,"DEV"
"2855",NA,"Software Engineer","PHP","","5","0.25",1200,200,"Кировоград","до 10 человек","Продуктовая","мужской",23,"Среднее","False","выше среднего","Веб-разработка","24/05/2014 15:15:19","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 FirePHP/4Chrome",5,0.25,"other",1200,NA,"DEV"
"2856",NA,"Team lead","","","7.5","4.5",4500,1000,"Киев","до 50 человек","Продуктовая","мужской",27,"Высшее","False","продвинутый","Системное программирование","24/05/2014 15:34:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",7.5,4.5,"Киев",4500,NA,"PM"
"2857",NA,"QA engineer","","General QA","меньше 3 месяцев","0.75",1400,650,"Днепр.","до 200 человек","Продуктовая","мужской",44,"Высшее","False","средний","Веб-разработка","24/05/2014 16:03:50","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",0,0.75,"Днепр.",1400,NA,"QA"
"2858",NA,"Project manager","","","1","меньше 3 месяцев",500,0,"Киев","до 50 человек","Аутсорсинговая","женский",23,"Высшее","False","средний","eCommerce","24/05/2014 16:04:08","Opera/9.80 (Android; Opera Mini/7.5.35199/34.2152; U; ru) Presto/2.8.119 Version/11.10",1,0,"Киев",500,NA,"PM"
"2859",NA,"Scrum Master","","","0.5","1.25",1800,400,"Киев","свыше 1000 человек","Аутсорсинговая","женский",26,"Высшее","False","продвинутый","Финансы и банки,eCommerce","24/05/2014 16:09:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.5,1.25,"Киев",1800,NA,""
"2860",NA,"Junior Software Engineer","PHP","","2","0.75",800,1000,"Киев","до 50 человек","Аутсорсинговая","мужской",33,"Незаконченное высшее","False","ниже среднего","Веб-разработка","24/05/2014 16:10:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,0.75,"Киев",800,NA,"DEV"
"2861",NA,"Software Engineer","PHP","","2","1.25",1250,250,"Одесса","до 200 человек","Аутсорсинговая","мужской",25,"Незаконченное высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","24/05/2014 17:02:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,1.25,"Одесса",1250,NA,"DEV"
"2862",NA,"Team lead","","","10 и более лет","3",4800,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",35,"Кандидат","False","выше среднего","Веб-разработка,Корпоративные системы","24/05/2014 17:32:08","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",10,3,"Киев",4800,NA,"PM"
"2863",NA,"Software Engineer","Other","","меньше 3 месяцев","меньше 3 месяцев",700,100,"Киев","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","False","ниже среднего","Корпоративные системы","24/05/2014 18:47:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0,0,"Киев",700,NA,"DEV"
"2864",NA,"Junior Software Engineer","PHP","","0.5","0.5",700,0,"Донецк","до 10 человек","Продуктовая","мужской",20,"Незаконченное высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","24/05/2014 19:13:59","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0.5,0.5,"other",700,NA,"DEV"
"2865",NA,"QA engineer","","General QA","1","0.5",1000,0,"Киев","до 1000 человек","Стартап","мужской",22,"Незаконченное высшее","True","выше среднего","Веб-разработка","24/05/2014 19:30:52","Mozilla/5.0 (Windows NT 6.1; rv:28.0) Gecko/20100101 Firefox/28.0",1,0.5,"Киев",1000,NA,"QA"
"2866",NA,"Software Engineer","Java","","2","меньше 3 месяцев",2500,1450,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","средний","Веб-разработка,Корпоративные системы","24/05/2014 19:32:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,0,"Киев",2500,NA,"DEV"
"2867",NA,"Senior Software Engineer","Java","","9","6",3800,1000,"Киев","до 10 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","24/05/2014 19:43:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",9,6,"Киев",3800,NA,"DEV"
"2868",NA,"Junior QA engineer","","Manual QA","0.75","0.75",750,150,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","продвинутый","Desktop Applications,Телекоммуникации","24/05/2014 19:53:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.75,0.75,"Киев",750,NA,"QA"
"2869",NA,"Junior Software Engineer","PHP","","1","0.25",363,0,"Винница","до 50 человек","Аутсорсинговая","мужской",24,"Среднее","False","ниже среднего","Веб-разработка","24/05/2014 20:05:16","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.17",1,0.25,"other",363,NA,"DEV"
"2870",NA,"QA engineer","","General QA","3","0.25",1600,0,"Запорожье","свыше 1000 человек","Продуктовая","мужской",22,"Незаконченное высшее","False","средний","Desktop Applications","24/05/2014 20:37:53","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,0.25,"other",1600,NA,"QA"
"2871",NA,"Team lead","","","3","меньше 3 месяцев",3100,500,"Киев","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","24/05/2014 20:51:45","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0,"Киев",3100,NA,"PM"
"2872",NA,"Project manager","","","6","3.5",3000,500,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","False","средний","eCommerce","24/05/2014 20:54:23","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,3.5,"Киев",3000,NA,"PM"
"2873",NA,"QA engineer","","Automation QA","меньше 3 месяцев","3.5",1330,230,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",28,"Два высших","False","выше среднего","Веб-разработка,eCommerce","24/05/2014 21:01:05","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0,3.5,"Львов",1330,NA,"QA"
"2874",NA,"Верстальщик","","","2","меньше 3 месяцев",1500,300,"Киев","до 50 человек","Аутсорсинговая","женский",24,"Высшее","False","средний","Веб-разработка,eCommerce","24/05/2014 21:28:08","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,0,"Киев",1500,NA,""
"2875",NA,"Junior QA engineer","","Manual QA","2","1.5",1400,500,"Киев","до 10 человек","Стартап","мужской",33,"Высшее","False","ниже среднего","Desktop Applications,Веб-разработка","24/05/2014 21:43:42","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,1.5,"Киев",1400,NA,"QA"
"2876",NA,"Бизнес-аналитик","","","3.5","0.5",1400,200,"Харьков","до 200 человек","Продуктовая","женский",31,"Два высших","False","продвинутый","Другое","24/05/2014 21:54:03","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3.5,0.5,"Харьков",1400,NA,""
"2877",NA,"Technical Lead","C#/.NET","","9","0.75",4000,400,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",30,"Высшее","False","продвинутый","Финансы и банки,Корпоративные системы","24/05/2014 21:55:55","Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; Touch; rv:11.0) like Gecko",9,0.75,"Киев",4000,NA,"SDEV"
"2879",NA,"Junior Software Engineer","SQL","","0.75","0.5",300,0,"Киев","до 50 человек","Продуктовая","женский",24,"Высшее","False","ниже среднего","Desktop Applications,Корпоративные системы","24/05/2014 23:08:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.75,0.5,"Киев",300,NA,"DEV"
"2880",NA,"Бизнес-аналитик","","","5.5","5.5",2700,300,"Киев","до 200 человек","Продуктовая","женский",36,"Высшее","False","выше среднего","Desktop Applications,Другое","24/05/2014 23:26:03","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",5.5,5.5,"Киев",2700,NA,""
"2881",NA,"Software Engineer","PHP","","5","1",400,0,"Киев","до 10 человек","Продуктовая","мужской",21,"Незаконченное высшее","False","средний","Веб-разработка,Корпоративные системы","24/05/2014 23:45:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",5,1,"Киев",400,NA,"DEV"
"2882",NA,"HR","","","меньше 3 месяцев","меньше 3 месяцев",350,0,"Львов","свыше 1000 человек","Другая","мужской",21,"Незаконченное высшее","True","ниже среднего","Другое","25/05/2014 00:37:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0,0,"Львов",350,NA,""
"2883",NA,"Software Engineer","JavaScript","","4","3",1200,200,"Ивано-Франковск","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Веб-разработка","25/05/2014 01:08:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,3,"other",1200,NA,"DEV"
"2884",NA,"Senior Software Engineer","PHP","","4","2.5",1900,300,"Киев","до 10 человек","Стартап","мужской",27,"Высшее","False","выше среднего","Веб-разработка","25/05/2014 01:12:07","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4,2.5,"Киев",1900,NA,"DEV"
"2885",NA,"Junior Software Engineer","PHP","","0.25","0.25",400,0,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","False","ниже среднего","Веб-разработка,Мультимедиа","25/05/2014 01:43:21","Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.17",0.25,0.25,"Харьков",400,NA,"DEV"
"2886",NA,"Senior Software Engineer","C#/.NET","","8","0.25",3200,500,"Харьков","до 1000 человек","Аутсорсинговая","мужской",31,"Два высших","False","ниже среднего","Веб-разработка","25/05/2014 01:44:19","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15",8,0.25,"Харьков",3200,NA,"DEV"
"2887",NA,"Software Engineer","Objective-C","","3","2.5",1060,-520,"Киев","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","iOS","25/05/2014 01:59:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,2.5,"Киев",1060,NA,"DEV"
"2888",NA,"Junior Software Engineer","Ruby/Rails","","0.25","0.25",1200,900,"Донецк","до 50 человек","Продуктовая","мужской",34,"Высшее","False","ниже среднего","Веб-разработка,Телекоммуникации","25/05/2014 02:22:14","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:29.0) Gecko/20100101 Firefox/29.0",0.25,0.25,"other",1200,NA,"DEV"
"2889",NA,"System Architect / Системный архитектор","Java","","10 и более лет","4",4675,625,"Львов","до 10 человек","Стартап","мужской",31,"Высшее","False","продвинутый","Веб-разработка","25/05/2014 02:50:32","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",10,4,"Львов",4675,NA,""
"2890",NA,"Senior Software Engineer","Java","","10 и более лет","2.5",3575,300,"Киев","до 200 человек","Аутстаффинговая","мужской",36,"Высшее","False","выше среднего","Корпоративные системы","25/05/2014 05:50:46","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",10,2.5,"Киев",3575,NA,"DEV"
"2891",NA,"Technical Lead","C#/.NET","","6","0.5",3700,0,"Харьков","до 50 человек","Аутстаффинговая","мужской",29,"Высшее","False","продвинутый","Веб-разработка","25/05/2014 07:42:00","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,0.5,"Харьков",3700,NA,"SDEV"
"2892",NA,"Junior QA engineer","","Manual QA","1","меньше 3 месяцев",550,200,"Днепр.","до 1000 человек","Продуктовая","мужской",25,"Высшее","False","ниже среднего","Веб-разработка,Финансы и банки","25/05/2014 09:06:10","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30",1,0,"Днепр.",550,NA,"QA"
"2893",NA,"Senior Software Engineer","PHP","","5","1",2750,250,"Львов","до 200 человек","Аутсорсинговая","мужской",29,"Два высших","False","средний","Веб-разработка,Корпоративные системы","25/05/2014 09:33:41","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",5,1,"Львов",2750,NA,"DEV"
"2894",NA,"Junior QA engineer","","Manual QA","1.25","1.25",500,200,"Луганск","до 50 человек","Продуктовая","мужской",26,"Высшее","False","средний","Android,Gamedev","25/05/2014 10:05:01","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.25,1.25,"other",500,NA,"QA"
"2895",NA,"Software Engineer","Java","","5.5","2.5",1650,350,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","продвинутый","Веб-разработка,Телекоммуникации","25/05/2014 11:16:17","Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.17",5.5,2.5,"Киев",1650,NA,"DEV"
"2896",NA,"Software Engineer","PHP","","4","0.25",1000,500,"Донецк","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","25/05/2014 11:38:33","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,0.25,"other",1000,NA,"DEV"
"2897",NA,"Junior Software Engineer","PHP","","0.5","0.5",600,800,"Киев","до 10 человек","Другая","мужской",22,"Незаконченное высшее","True","ниже среднего","Телекоммуникации,Корпоративные системы","25/05/2014 11:44:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0.5,0.5,"Киев",600,NA,"DEV"
"2898",NA,"Senior Software Engineer","JavaScript","","3","меньше 3 месяцев",2500,800,"Днепр.","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Веб-разработка","25/05/2014 13:13:40","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,0,"Днепр.",2500,NA,"DEV"
"2899",NA,"Junior QA engineer","","Automation QA","меньше 3 месяцев","меньше 3 месяцев",600,600,"Киев","до 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","выше среднего","Финансы и банки,Корпоративные системы","25/05/2014 13:37:17","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0,0,"Киев",600,NA,"QA"
"2900",NA,"Senior Software Engineer","C#/.NET","","8","1.5",2000,500,"Житомир","свыше 1000 человек","Аутсорсинговая","мужской",33,"Два высших","False","ниже среднего","Веб-разработка,Корпоративные системы","25/05/2014 14:19:49","Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; HTC; Windows Phone 8X by HTC)",8,1.5,"other",2000,NA,"DEV"
"2901",NA,"Системный администратор","","","1.5","1.5",1100,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","продвинутый","Корпоративные системы","25/05/2014 14:19:49","Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/17.0 Firefox/17.0",1.5,1.5,"Киев",1100,NA,"ADM"
"2902",NA,"QA engineer","","Automation QA","6","6",2000,150,"Львов","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Веб-разработка","25/05/2014 14:24:08","Mozilla/5.0 (X11; Linux i686; rv:25.0) Gecko/20100101 Firefox/25.0",6,6,"Львов",2000,NA,"QA"
"2903",NA,"Junior QA engineer","","Automation QA","2.5","меньше 3 месяцев",1400,400,"Киев","до 1000 человек","Продуктовая","мужской",24,"Высшее","False","средний","Desktop Applications,Веб-разработка","25/05/2014 14:30:40","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",2.5,0,"Киев",1400,NA,"QA"
"2904",NA,"QA engineer","","General QA","3","3",900,200,"Винница","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Desktop Applications,Финансы и банки","25/05/2014 14:44:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.18 Safari/537.36",3,3,"other",900,NA,"QA"
